participant_id,cohort,race_simplified,gender_simplified,accent_simplified,audit_eligible,strict_audit_eligible,prolific_recruitment_group,prolific_filter_matches_self_report,age_bin,income_bin,education,gender_self_report,race_self_report_raw,race_other_text,english_proficiency,english_accent_self_report,english_accent_other_text,primary_language,primary_language_other_text,languages_fluent,languages_fluent_other_text,residency_state,residency_other_text,country_childhood,country_childhood_other_text,state_childhood,recording_device,recording_device_other_text,device_brand_model_text,frequency_voice_assistant,frequency_text_assistant,ux_voice,voice_underperform_text,duration_s
P0210,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,45-54,"$80,000 to $89,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,Mid Atlantic accent,,English,,English,,New York,,United States,,New Jersey,Laptop/Computer with built-in microphone,,Lenovo 82QG,Not at all,Only a few times,Extremely well,"I have not used them often, but I have not encountered issues regarding their understanding of my speech.",1168
P0232,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,45-54,"$30,000 to $39,999",High school graduate (high school diploma or equivalent including GED),Man,Hispanic or Latino,,I speak English fluently as a first language,"Latino, Hispanic, or Chicano English",,English,,Spanish,,California,,United States,,California,Laptop/Computer with built-in microphone,,lenovo laptop,"At least once per week, but not every day","At least once per week, but not every day",Very well,Sometimes it does not understand what i say,1339
P0244,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,25-34,"$90,000 to $99,999",Bachelor's degree in college (4-year),Man,Hispanic or Latino,,I speak English fluently as a first language,"Latino, Hispanic, or Chicano English",,English,,English,,Colorado,,United States,,Arkansas,Laptop/Computer with external microphone,,fifine AM8T Gaming Microphone,Daily or more,Daily or more,Very well,Not always interpreting accurately. ,1227
P0248,new_recruits,White,Male,SAE,True,True,wh_ma,True,18-24,"$70,000 to $79,999",High school graduate (high school diploma or equivalent including GED),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Minnesota,,United States,,Minnesota,Smartphone,,Samsung s24,"At least once per week, but not every day",Daily or more,Slightly well,Voice note sounding completely accurate ,1238
P0205,new_recruits,White,Male,SAE,True,True,wh_ma,True,25-34,"$50,000 to $59,999",Associate degree in college (2-year),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Tennessee,,United States,,Illinois,Laptop/Computer with built-in microphone,,Lenovo ChromeBook,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,Understanding certain words and also working fast enough.,1701
P0207,new_recruits,White,Male,SAE,True,True,wh_ma,True,35-44,"$30,000 to $39,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,Spanish,,Michigan,,United States,,Michigan,Laptop/Computer with external microphone,,DESKTOP- 9OG6P5S,"At least once per week, but not every day",Daily or more,Very well,none I can think of,1572
P0197,new_recruits,White,Male,SAE,True,True,wh_ma,True,35-44,"$100,000 to $149,999",Master's degree,Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Indiana,,United States,,Indiana,Laptop/Computer with built-in microphone,,Lenovo V15 G4 ABP,"At least once per week, but not every day",Daily or more,Extremely well,"Not to my experience
",1082
P0199,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,65-74,"$80,000 to $89,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,New Orleans / Cajun accent,,English,,English,,Louisiana,,United States,,Louisiana,Tablet,,Galaxy Tab A8,Only a few times,"At least once per month, but not every week",Moderately well,No,1262
P0203,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,35-44,"$150,000 or more","Professional degree (JD, MD)",Man,White or European American,,I speak English fluently as a first language,Midland or Northern Midwest accent,,English,,English,,Montana,,United States,,North Dakota,Laptop/Computer with external microphone,,Acer Aspire 3 15 PC with Jabra Link 370 headset,Only a few times,Only a few times,Very well,"No, they usually understand me as long as I speak clearly and not too fast.",1570
P0233,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,25-34,"$100,000 to $149,999",Bachelor's degree in college (4-year),Man,"Hispanic or Latino,White or European American",,I speak English fluently as a first language,"Latino, Hispanic, or Chicano English,California accent",,English,,English,,California,,United States,,California,Laptop/Computer with external microphone,,Asus Predator,Daily or more,"At least once per week, but not every day",Extremely well,no,1080
P0193,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,18-24,"$100,000 to $149,999",Some college but no degree,Man,White or European American,,I speak English fluently as a first language,Southern accent,,English,,English,,Georgia,,United States,,Georgia,Laptop/Computer with external microphone,,Predator P05-640,Only a few times,Daily or more,Not well at all,Much slower than any other system I have used,986
P0149,new_recruits,White,Female,SAE,True,True,wh_fe,True,25-34,"$100,000 to $149,999",Doctoral degree,Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,West Virginia,,United States,,Pennsylvania,Smartphone,,Samsung galaxy ,"At least once per month, but not every week","At least once per week, but not every day",Moderately well,,984
P0156,new_recruits,White,Female,SAE,True,True,wh_fe,True,25-34,"$60,000 to $69,999",Associate degree in college (2-year),Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Ohio,,United States,,Ohio,Smartphone,,iPhone 14 Pro Max ,"At least once per week, but not every day",Daily or more,Very well,They don’t have access to some apps that would be beneficial to answering questions.,999
P0158,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,35-44,"$100,000 to $149,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,"New England accent,Standard American English",,English,,English,,New York,,United States,,"New York,Rhode Island",Smartphone,,Samsung S10e,Daily or more,Daily or more,Extremely well,"No, theu usually perform as expected ",996
P0196,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,25-34,"$80,000 to $89,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,"California accent,Standard American English",,English,,English,,California,,United States,,California,Laptop/Computer with external microphone,,"MacBook Pro, 2019 with Apple AirPods 4","At least once per week, but not every day","At least once per week, but not every day",Very well,The only way they have underperformed is by not being able to perform the task I ask.,1463
P0177,new_recruits,White,Female,SAE,True,True,wh_fe,True,25-34,"$50,000 to $59,999",High school graduate (high school diploma or equivalent including GED),Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,California,,United States,,California,Smartphone,,iPhone 13 Pro Max ,Daily or more,Daily or more,Moderately well,,1048
P0154,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,35-44,"$40,000 to $49,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,"Southern accent,Midland or Northern Midwest accent",,English,,English,,Texas,,United States,,Missouri,Laptop/Computer with external microphone,,Lenovo Ideapad 3,"At least once per month, but not every week",Daily or more,Very well,"No, they have all understood me pretty well. ",1032
P0172,new_recruits,White,Female,SAE,True,True,wh_fe,True,35-44,"$150,000 or more",Associate degree in college (2-year),Woman,"Native American or Alaska Native,White or European American",,I speak English fluently as a first language,Standard American English,,English,,English,,Pennsylvania,,United States,,"Georgia,Maryland,Pennsylvania",Smartphone,,Samsung Galaxy s25 ultra,Daily or more,Daily or more,Moderately well,Gemini often misunderstands what I'm saying and gives me advise or answers based on the misunderstanding. ,1175
P0165,new_recruits,White,Female,SAE,True,True,wh_fe,True,35-44,"$60,000 to $69,999",Some college but no degree,Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Pennsylvania,,United States,,Pennsylvania,Laptop/Computer with built-in microphone,,DELL INSPRION,Daily or more,"At least once per week, but not every day",Extremely well,"Yes, not understanding what I am saying. Having too much noise around them such as the tv or air conditioner.",1037
P0167,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,25-34,"$10,000 to $19,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,Pacific Northwest accent,,English,,English,,Washington,,United States,,Washington,Laptop/Computer with built-in microphone,,Macbook Air,Not at all,Only a few times,Moderately well,,914
P0171,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,25-34,"$150,000 or more",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,New England accent,,English,,"English,Portuguese",,Vermont,,United States,,Massachusetts,Smartphone,,iPhone 16,"At least once per month, but not every week","At least once per month, but not every week",Moderately well,I sometimes speak quickly and they do not accurately pick up on what I say. ,987
P0082,new_recruits,Black,Male,SAE,True,True,bl_ma,True,45-54,"$100,000 to $149,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,"English,Spanish",,California,,United States,,North Carolina,Laptop/Computer with external microphone,,AsusTeK ,"At least once per month, but not every week",Daily or more,Moderately well,"I've never used Siri but the others have performed ""ok.""",1200
P0191,new_recruits,White,Female,SAE,True,True,wh_fe,True,45-54,"$50,000 to $59,999",High school graduate (high school diploma or equivalent including GED),Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Tennessee,,United States,,Missouri,Tablet,,On 13,Not at all,"At least once per week, but not every day",Moderately well,No,1178
P0155,new_recruits,White,Female,SAE,True,True,wh_fe,True,25-34,"$90,000 to $99,999",Bachelor's degree in college (4-year),Woman,Hispanic or Latino,,I speak English fluently as a first language,Standard American English,,English,,"English,Spanish",,Illinois,,United States,,Illinois,Smartphone,,iPhone 13,Daily or more,Daily or more,Very well,They confuse some of the things I say,1009
P0166,new_recruits,White,Female,SAE,True,True,wh_fe,True,35-44,"$50,000 to $59,999",Some college but no degree,Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Oklahoma,,United States,,Texas,Smartphone,,Motorola g play ,"At least once per week, but not every day",Not at all,Very well,I can't get my echo show to display the time on the display and that frustrates me also whenever Alexa doesn't hear me also whenever they provide unwanted up sales,1258
P0153,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,35-44,"$150,000 or more",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a second or additional language,"Any non-American accent (British, European, Asian, African, etc)",Eastern European (Bulgarian),Other,Bulgarian,"English,German,Russian,Other","Bulgarian, Croatian",Texas,,Other (Please specify),Bulgaria,,Laptop/Computer with external microphone,,Dell Latitude 7420,Daily or more,"At least once per week, but not every day",Very well,"I feel like sometimes when I request a song on Alexa, she doesn't understand me.",1240
P0161,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,55-64,"$40,000 to $49,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,California accent,,English,,English,,California,,United States,,California,Smartphone,,iPhone 16,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,When I don’t speak clearly ,1198
P0148,new_recruits,White,Female,SAE,True,True,wh_fe,True,35-44,"$100,000 to $149,999",Some college but no degree,Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Texas,,United States,,Texas,Laptop/Computer with built-in microphone,,iPhone 15,Not at all,Daily or more,Not well at all,No.,1059
P0150,new_recruits,White,Female,SAE,True,True,wh_fe,True,55-64,"$50,000 to $59,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,California,,United States,,New Jersey,Smartphone,,Iphone 16,Daily or more,Daily or more,Very well,I would say the only time they’ve underperformed is when they just don’t have the answer,1241
P0186,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,25-34,"$100,000 to $149,999",Some college but no degree,Woman,White or European American,,I speak English fluently as a first language,California accent,,English,,English,,California,,United States,,California,Smartphone,,Samsung galaxy 26 ultra,Daily or more,Daily or more,Very well,No they been pretty good really haven't had any issues,1416
P0140,new_recruits,White,Female,SAE,True,True,wh_fe,True,25-34,"$70,000 to $79,999",Master's degree,Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Virginia,,United States,,Ohio,Laptop/Computer with built-in microphone,,Lenovo chromebook,Only a few times,"At least once per month, but not every week",Moderately well,not hearing or constantly misunderstanding,1501
P0170,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,35-44,I prefer not to answer,Associate degree in college (2-year),Woman,White or European American,,I speak English fluently as a first language,"California accent,Standard American English",,English,,English,,Washington,,United States,,California,Laptop/Computer with built-in microphone,,Apple A18 Pro,Daily or more,Daily or more,Moderately well,They mishear me or misunderstand me. Sometimes when I'm being silly they just straight up ignore me lol,1500
P0188,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,45-54,"$20,000 to $29,999",High school graduate (high school diploma or equivalent including GED),Woman,White or European American,,I speak English fluently as a first language,Southern accent,,English,,English,,South Carolina,,United States,,South Carolina,Laptop/Computer with built-in microphone,,13 inch 2025 macbook pro,"At least once per week, but not every day","At least once per month, but not every week",Very well,they are sometimes unable to understand my southern accent. ,1060
P0195,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,45-54,"$20,000 to $29,999",High school graduate (high school diploma or equivalent including GED),Man,White or European American,,I speak English fluently as a first language,Southern accent,,English,,English,,Tennessee,,United States,,Tennessee,Smartphone,,LGV60,"At least once per week, but not every day","At least once per week, but not every day",Very well,no,1283
P0192,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,25-34,"$10,000 to $19,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,Southern accent,,English,,English,,Alabama,,United States,,"Alabama,Georgia",Laptop/Computer with external microphone,,desktop,Daily or more,Daily or more,Extremely well,no,1207
P0141,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,18-24,"$90,000 to $99,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,Midland or Northern Midwest accent,,English,,English,,Illinois,,United States,,Missouri,Laptop/Computer with built-in microphone,,MacBook Air 1.1 GHz Dual-Core Intel Core i3,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,"Sometimes it seems like I have to shout for Siri to understand me, especially if it’s coming through my car stereo. ",1154
P0218,new_recruits,White,Male,SAE,True,True,wh_ma,True,25-34,"$100,000 to $149,999",Associate degree in college (2-year),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Oregon,,United States,,"Hawaii,Illinois",Laptop/Computer with built-in microphone,,Apple MacBook Pro M1 2020,"At least once per week, but not every day","At least once per week, but not every day",Slightly well,I often find that I need to repeat my input instructions multiple times or in several different ways in order for the output to align with what I wanted in the first place. The tech is still in its infancy so this is to be expected.,3535
P0146,new_recruits,White,Female,SAE,True,True,wh_fe,True,45-54,"$150,000 or more",Some college but no degree,Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Colorado,,United States,,"California,New York",Laptop/Computer with built-in microphone,,MacBook Air,Daily or more,Daily or more,Very well,no - I love them! (and build them!),1117
P0176,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,25-34,"$50,000 to $59,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,New Orleans / Cajun accent,,English,,English,,Louisiana,,United States,,Louisiana,Laptop/Computer with external microphone,,Lenovo Ideapad Gaming Laptop with Razr Kitty Kraken headphones and mic. ,Only a few times,Daily or more,Moderately well,"I feel like they don't always catch my words correctly, maybe my Cajun accent doesn't help. ",1268
P0087,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$90,000 to $99,999",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,"African American English,Midland or Northern Midwest accent,Standard American English",,English,,"English,Spanish",,Ohio,,United States,,Ohio,Laptop/Computer with external microphone,,Lenovo Legion 7,Daily or more,Daily or more,Extremely well,It occasionally misunderstands a word or 2. ,1500
P0181,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,45-54,"$90,000 to $99,999",Some college but no degree,Woman,White or European American,,I speak English fluently as a first language,Midland or Northern Midwest accent,,English,,English,,Indiana,,United States,,Ohio,Smartphone,,S23+,Daily or more,Daily or more,Moderately well,I pause in my speech a lot.  There should be an option that doesn't send until I send a signal that I'm finished. ,1104
P0183,new_recruits,White,Female,SAE,True,True,wh_fe,True,35-44,"$60,000 to $69,999",Some college but no degree,Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Missouri,,United States,,Illinois,Laptop/Computer with built-in microphone,,HP Laptop 15- fc0xxx,"At least once per month, but not every week","At least once per week, but not every day",Very well,Mostly just misunderstanding certain words that I've said.,1340
P0136,new_recruits,White,Female,non-SAE,True,True,wh_fe,True,18-24,"$70,000 to $79,999",High school graduate (high school diploma or equivalent including GED),Woman,White or European American,,I speak English fluently as a first language,Midland or Northern Midwest accent,,English,,English,,Utah,,United States,,Utah,Laptop/Computer with external microphone,,OMEN desktop,"At least once per week, but not every day","At least once per week, but not every day",Slightly well,sometimes she doesnt understand me,916
P0145,new_recruits,White,Female,SAE,True,True,wh_fe,True,25-34,"$10,000 to $19,999",Some college but no degree,Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Virginia,,United States,,Michigan,Laptop/Computer with external microphone,,"Custom built Computer, RTX3080 with a Steel Series Pro Headset",Daily or more,Daily or more,Very well,Asking general questions like help with recipes or having basic conversation outside of tasks.,1001
P0179,new_recruits,White,Female,SAE,True,True,wh_fe,True,35-44,"$100,000 to $149,999",High school graduate (high school diploma or equivalent including GED),Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Georgia,,United States,,Georgia,Smartphone,,Samsung Galaxy S25 Ultra,Daily or more,"At least once per week, but not every day",Extremely well,"Occasionally, they misinterpret my commands",1191
P0190,new_recruits,White,Female,SAE,True,True,wh_fe,True,18-24,"$100,000 to $149,999",Some college but no degree,Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,New York,,United States,,Illinois,Smartphone,,iPhone 16,Not at all,"At least once per month, but not every week",Moderately well,"Not recognizing or misunderstanding speech, cutting me off to respond if I pause too long ",531
