clip_id,participant_id,cohort,question_id,prompt_type,voiceform_question_order,audio_path
P0001_q71,P0001,new_recruits,71.0,suffix_additional,139,audio/new_recruits/P0001/P0001_q71.wav
P0001_q72,P0001,new_recruits,72.0,demographic,140,audio/new_recruits/P0001/P0001_q72.wav
P0001_q73,P0001,new_recruits,73.0,dialect,142,audio/new_recruits/P0001/P0001_q73.wav
P0001_mic_check,P0001,new_recruits,,mic_check,141,audio/new_recruits/P0001/P0001_mic_check.wav
P0002_q03,P0002,new_recruits,3.0,scenario,71,audio/new_recruits/P0002/P0002_q03.wav
P0002_q10,P0002,new_recruits,10.0,scenario,78,audio/new_recruits/P0002/P0002_q10.wav
P0002_q11,P0002,new_recruits,11.0,scenario,79,audio/new_recruits/P0002/P0002_q11.wav
P0002_q17,P0002,new_recruits,17.0,scenario,85,audio/new_recruits/P0002/P0002_q17.wav
P0002_q19,P0002,new_recruits,19.0,scenario,87,audio/new_recruits/P0002/P0002_q19.wav
P0002_q20,P0002,new_recruits,20.0,scenario,88,audio/new_recruits/P0002/P0002_q20.wav
P0002_q21,P0002,new_recruits,21.0,scenario,89,audio/new_recruits/P0002/P0002_q21.wav
P0002_q24,P0002,new_recruits,24.0,scenario,92,audio/new_recruits/P0002/P0002_q24.wav
P0002_q25,P0002,new_recruits,25.0,scenario,93,audio/new_recruits/P0002/P0002_q25.wav
P0002_q27,P0002,new_recruits,27.0,scenario,95,audio/new_recruits/P0002/P0002_q27.wav
P0002_q29,P0002,new_recruits,29.0,scenario,97,audio/new_recruits/P0002/P0002_q29.wav
P0002_q33,P0002,new_recruits,33.0,scenario,101,audio/new_recruits/P0002/P0002_q33.wav
P0002_q34,P0002,new_recruits,34.0,scenario,102,audio/new_recruits/P0002/P0002_q34.wav
P0002_q35,P0002,new_recruits,35.0,scenario,103,audio/new_recruits/P0002/P0002_q35.wav
P0002_q38,P0002,new_recruits,38.0,scenario,106,audio/new_recruits/P0002/P0002_q38.wav
P0002_q41,P0002,new_recruits,41.0,scenario,109,audio/new_recruits/P0002/P0002_q41.wav
P0002_q42,P0002,new_recruits,42.0,scenario,110,audio/new_recruits/P0002/P0002_q42.wav
P0002_q45,P0002,new_recruits,45.0,scenario,113,audio/new_recruits/P0002/P0002_q45.wav
P0002_q46,P0002,new_recruits,46.0,scenario,114,audio/new_recruits/P0002/P0002_q46.wav
P0002_q47,P0002,new_recruits,47.0,scenario,115,audio/new_recruits/P0002/P0002_q47.wav
P0002_q52,P0002,new_recruits,52.0,scenario,120,audio/new_recruits/P0002/P0002_q52.wav
P0002_q53,P0002,new_recruits,53.0,scenario,121,audio/new_recruits/P0002/P0002_q53.wav
P0002_q54,P0002,new_recruits,54.0,scenario,122,audio/new_recruits/P0002/P0002_q54.wav
P0002_q56,P0002,new_recruits,56.0,scenario,124,audio/new_recruits/P0002/P0002_q56.wav
P0002_q57,P0002,new_recruits,57.0,scenario,125,audio/new_recruits/P0002/P0002_q57.wav
P0002_q59,P0002,new_recruits,59.0,scenario,127,audio/new_recruits/P0002/P0002_q59.wav
P0002_q62,P0002,new_recruits,62.0,scenario,130,audio/new_recruits/P0002/P0002_q62.wav
P0002_q64,P0002,new_recruits,64.0,scenario,132,audio/new_recruits/P0002/P0002_q64.wav
P0002_q65,P0002,new_recruits,65.0,scenario,133,audio/new_recruits/P0002/P0002_q65.wav
P0002_q67,P0002,new_recruits,67.0,scenario,135,audio/new_recruits/P0002/P0002_q67.wav
P0002_q68,P0002,new_recruits,68.0,scenario,136,audio/new_recruits/P0002/P0002_q68.wav
P0002_q70,P0002,new_recruits,70.0,suffix_number,138,audio/new_recruits/P0002/P0002_q70.wav
P0002_q71,P0002,new_recruits,71.0,suffix_additional,139,audio/new_recruits/P0002/P0002_q71.wav
P0002_q72,P0002,new_recruits,72.0,demographic,140,audio/new_recruits/P0002/P0002_q72.wav
P0002_q73,P0002,new_recruits,73.0,dialect,142,audio/new_recruits/P0002/P0002_q73.wav
P0002_mic_check,P0002,new_recruits,,mic_check,141,audio/new_recruits/P0002/P0002_mic_check.wav
P0003_q04,P0003,new_recruits,4.0,scenario,72,audio/new_recruits/P0003/P0003_q04.wav
P0003_q06,P0003,new_recruits,6.0,scenario,74,audio/new_recruits/P0003/P0003_q06.wav
P0003_q07,P0003,new_recruits,7.0,scenario,75,audio/new_recruits/P0003/P0003_q07.wav
P0003_q09,P0003,new_recruits,9.0,scenario,77,audio/new_recruits/P0003/P0003_q09.wav
P0003_q13,P0003,new_recruits,13.0,scenario,81,audio/new_recruits/P0003/P0003_q13.wav
P0003_q15,P0003,new_recruits,15.0,scenario,83,audio/new_recruits/P0003/P0003_q15.wav
P0003_q17,P0003,new_recruits,17.0,scenario,85,audio/new_recruits/P0003/P0003_q17.wav
P0003_q18,P0003,new_recruits,18.0,scenario,86,audio/new_recruits/P0003/P0003_q18.wav
P0003_q20,P0003,new_recruits,20.0,scenario,88,audio/new_recruits/P0003/P0003_q20.wav
P0003_q21,P0003,new_recruits,21.0,scenario,89,audio/new_recruits/P0003/P0003_q21.wav
P0003_q23,P0003,new_recruits,23.0,scenario,91,audio/new_recruits/P0003/P0003_q23.wav
P0003_q24,P0003,new_recruits,24.0,scenario,92,audio/new_recruits/P0003/P0003_q24.wav
P0003_q28,P0003,new_recruits,28.0,scenario,96,audio/new_recruits/P0003/P0003_q28.wav
P0003_q29,P0003,new_recruits,29.0,scenario,97,audio/new_recruits/P0003/P0003_q29.wav
P0003_q31,P0003,new_recruits,31.0,scenario,99,audio/new_recruits/P0003/P0003_q31.wav
P0003_q33,P0003,new_recruits,33.0,scenario,101,audio/new_recruits/P0003/P0003_q33.wav
P0003_q34,P0003,new_recruits,34.0,scenario,102,audio/new_recruits/P0003/P0003_q34.wav
P0003_q38,P0003,new_recruits,38.0,scenario,106,audio/new_recruits/P0003/P0003_q38.wav
P0003_q40,P0003,new_recruits,40.0,scenario,108,audio/new_recruits/P0003/P0003_q40.wav
P0003_q43,P0003,new_recruits,43.0,scenario,111,audio/new_recruits/P0003/P0003_q43.wav
P0003_q44,P0003,new_recruits,44.0,scenario,112,audio/new_recruits/P0003/P0003_q44.wav
P0003_q45,P0003,new_recruits,45.0,scenario,113,audio/new_recruits/P0003/P0003_q45.wav
P0003_q47,P0003,new_recruits,47.0,scenario,115,audio/new_recruits/P0003/P0003_q47.wav
P0003_q48,P0003,new_recruits,48.0,scenario,116,audio/new_recruits/P0003/P0003_q48.wav
P0003_q50,P0003,new_recruits,50.0,scenario,118,audio/new_recruits/P0003/P0003_q50.wav
P0003_q52,P0003,new_recruits,52.0,scenario,120,audio/new_recruits/P0003/P0003_q52.wav
P0003_q53,P0003,new_recruits,53.0,scenario,121,audio/new_recruits/P0003/P0003_q53.wav
P0003_q54,P0003,new_recruits,54.0,scenario,122,audio/new_recruits/P0003/P0003_q54.wav
P0003_q57,P0003,new_recruits,57.0,scenario,125,audio/new_recruits/P0003/P0003_q57.wav
P0003_q58,P0003,new_recruits,58.0,scenario,126,audio/new_recruits/P0003/P0003_q58.wav
P0003_q60,P0003,new_recruits,60.0,scenario,128,audio/new_recruits/P0003/P0003_q60.wav
P0003_q62,P0003,new_recruits,62.0,scenario,130,audio/new_recruits/P0003/P0003_q62.wav
P0003_q65,P0003,new_recruits,65.0,scenario,133,audio/new_recruits/P0003/P0003_q65.wav
P0003_q68,P0003,new_recruits,68.0,scenario,136,audio/new_recruits/P0003/P0003_q68.wav
P0003_q69,P0003,new_recruits,69.0,scenario,137,audio/new_recruits/P0003/P0003_q69.wav
P0003_q70,P0003,new_recruits,70.0,suffix_number,138,audio/new_recruits/P0003/P0003_q70.wav
P0003_q71,P0003,new_recruits,71.0,suffix_additional,139,audio/new_recruits/P0003/P0003_q71.wav
P0003_q72,P0003,new_recruits,72.0,demographic,140,audio/new_recruits/P0003/P0003_q72.wav
P0003_q73,P0003,new_recruits,73.0,dialect,142,audio/new_recruits/P0003/P0003_q73.wav
P0003_mic_check,P0003,new_recruits,,mic_check,141,audio/new_recruits/P0003/P0003_mic_check.wav
P0004_q05,P0004,new_recruits,5.0,scenario,73,audio/new_recruits/P0004/P0004_q05.wav
P0004_q06,P0004,new_recruits,6.0,scenario,74,audio/new_recruits/P0004/P0004_q06.wav
P0004_q10,P0004,new_recruits,10.0,scenario,78,audio/new_recruits/P0004/P0004_q10.wav
P0004_q11,P0004,new_recruits,11.0,scenario,79,audio/new_recruits/P0004/P0004_q11.wav
P0004_q12,P0004,new_recruits,12.0,scenario,80,audio/new_recruits/P0004/P0004_q12.wav
P0004_q15,P0004,new_recruits,15.0,scenario,83,audio/new_recruits/P0004/P0004_q15.wav
P0004_q16,P0004,new_recruits,16.0,scenario,84,audio/new_recruits/P0004/P0004_q16.wav
P0004_q18,P0004,new_recruits,18.0,scenario,86,audio/new_recruits/P0004/P0004_q18.wav
P0004_q20,P0004,new_recruits,20.0,scenario,88,audio/new_recruits/P0004/P0004_q20.wav
P0004_q21,P0004,new_recruits,21.0,scenario,89,audio/new_recruits/P0004/P0004_q21.wav
P0004_q22,P0004,new_recruits,22.0,scenario,90,audio/new_recruits/P0004/P0004_q22.wav
P0004_q24,P0004,new_recruits,24.0,scenario,92,audio/new_recruits/P0004/P0004_q24.wav
P0004_q26,P0004,new_recruits,26.0,scenario,94,audio/new_recruits/P0004/P0004_q26.wav
P0004_q28,P0004,new_recruits,28.0,scenario,96,audio/new_recruits/P0004/P0004_q28.wav
P0004_q29,P0004,new_recruits,29.0,scenario,97,audio/new_recruits/P0004/P0004_q29.wav
P0004_q31,P0004,new_recruits,31.0,scenario,99,audio/new_recruits/P0004/P0004_q31.wav
P0004_q33,P0004,new_recruits,33.0,scenario,101,audio/new_recruits/P0004/P0004_q33.wav
P0004_q34,P0004,new_recruits,34.0,scenario,102,audio/new_recruits/P0004/P0004_q34.wav
P0004_q35,P0004,new_recruits,35.0,scenario,103,audio/new_recruits/P0004/P0004_q35.wav
P0004_q37,P0004,new_recruits,37.0,scenario,105,audio/new_recruits/P0004/P0004_q37.wav
P0004_q40,P0004,new_recruits,40.0,scenario,108,audio/new_recruits/P0004/P0004_q40.wav
P0004_q41,P0004,new_recruits,41.0,scenario,109,audio/new_recruits/P0004/P0004_q41.wav
P0004_q43,P0004,new_recruits,43.0,scenario,111,audio/new_recruits/P0004/P0004_q43.wav
P0004_q46,P0004,new_recruits,46.0,scenario,114,audio/new_recruits/P0004/P0004_q46.wav
P0004_q47,P0004,new_recruits,47.0,scenario,115,audio/new_recruits/P0004/P0004_q47.wav
P0004_q51,P0004,new_recruits,51.0,scenario,119,audio/new_recruits/P0004/P0004_q51.wav
P0004_q52,P0004,new_recruits,52.0,scenario,120,audio/new_recruits/P0004/P0004_q52.wav
P0004_q54,P0004,new_recruits,54.0,scenario,122,audio/new_recruits/P0004/P0004_q54.wav
P0004_q59,P0004,new_recruits,59.0,scenario,127,audio/new_recruits/P0004/P0004_q59.wav
P0004_q60,P0004,new_recruits,60.0,scenario,128,audio/new_recruits/P0004/P0004_q60.wav
P0004_q62,P0004,new_recruits,62.0,scenario,130,audio/new_recruits/P0004/P0004_q62.wav
P0004_q63,P0004,new_recruits,63.0,scenario,131,audio/new_recruits/P0004/P0004_q63.wav
P0004_q65,P0004,new_recruits,65.0,scenario,133,audio/new_recruits/P0004/P0004_q65.wav
P0004_q66,P0004,new_recruits,66.0,scenario,134,audio/new_recruits/P0004/P0004_q66.wav
P0004_q68,P0004,new_recruits,68.0,scenario,136,audio/new_recruits/P0004/P0004_q68.wav
P0004_q70,P0004,new_recruits,70.0,suffix_number,138,audio/new_recruits/P0004/P0004_q70.wav
P0004_q71,P0004,new_recruits,71.0,suffix_additional,139,audio/new_recruits/P0004/P0004_q71.wav
P0004_q72,P0004,new_recruits,72.0,demographic,140,audio/new_recruits/P0004/P0004_q72.wav
P0004_q73,P0004,new_recruits,73.0,dialect,142,audio/new_recruits/P0004/P0004_q73.wav
P0004_mic_check,P0004,new_recruits,,mic_check,141,audio/new_recruits/P0004/P0004_mic_check.wav
P0005_q01,P0005,new_recruits,1.0,scenario,69,audio/new_recruits/P0005/P0005_q01.wav
P0005_q02,P0005,new_recruits,2.0,scenario,70,audio/new_recruits/P0005/P0005_q02.wav
P0005_q03,P0005,new_recruits,3.0,scenario,71,audio/new_recruits/P0005/P0005_q03.wav
P0005_q04,P0005,new_recruits,4.0,scenario,72,audio/new_recruits/P0005/P0005_q04.wav
P0005_q05,P0005,new_recruits,5.0,scenario,73,audio/new_recruits/P0005/P0005_q05.wav
P0005_q06,P0005,new_recruits,6.0,scenario,74,audio/new_recruits/P0005/P0005_q06.wav
P0005_q07,P0005,new_recruits,7.0,scenario,75,audio/new_recruits/P0005/P0005_q07.wav
P0005_q08,P0005,new_recruits,8.0,scenario,76,audio/new_recruits/P0005/P0005_q08.wav
P0005_q10,P0005,new_recruits,10.0,scenario,78,audio/new_recruits/P0005/P0005_q10.wav
P0005_q12,P0005,new_recruits,12.0,scenario,80,audio/new_recruits/P0005/P0005_q12.wav
P0005_q14,P0005,new_recruits,14.0,scenario,82,audio/new_recruits/P0005/P0005_q14.wav
P0005_q17,P0005,new_recruits,17.0,scenario,85,audio/new_recruits/P0005/P0005_q17.wav
P0005_q18,P0005,new_recruits,18.0,scenario,86,audio/new_recruits/P0005/P0005_q18.wav
P0005_q20,P0005,new_recruits,20.0,scenario,88,audio/new_recruits/P0005/P0005_q20.wav
P0005_q24,P0005,new_recruits,24.0,scenario,92,audio/new_recruits/P0005/P0005_q24.wav
P0005_q28,P0005,new_recruits,28.0,scenario,96,audio/new_recruits/P0005/P0005_q28.wav
P0005_q29,P0005,new_recruits,29.0,scenario,97,audio/new_recruits/P0005/P0005_q29.wav
P0005_q31,P0005,new_recruits,31.0,scenario,99,audio/new_recruits/P0005/P0005_q31.wav
P0005_q33,P0005,new_recruits,33.0,scenario,101,audio/new_recruits/P0005/P0005_q33.wav
P0005_q34,P0005,new_recruits,34.0,scenario,102,audio/new_recruits/P0005/P0005_q34.wav
P0005_q36,P0005,new_recruits,36.0,scenario,104,audio/new_recruits/P0005/P0005_q36.wav
P0005_q39,P0005,new_recruits,39.0,scenario,107,audio/new_recruits/P0005/P0005_q39.wav
P0005_q46,P0005,new_recruits,46.0,scenario,114,audio/new_recruits/P0005/P0005_q46.wav
P0005_q47,P0005,new_recruits,47.0,scenario,115,audio/new_recruits/P0005/P0005_q47.wav
P0005_q48,P0005,new_recruits,48.0,scenario,116,audio/new_recruits/P0005/P0005_q48.wav
P0005_q50,P0005,new_recruits,50.0,scenario,118,audio/new_recruits/P0005/P0005_q50.wav
P0005_q55,P0005,new_recruits,55.0,scenario,123,audio/new_recruits/P0005/P0005_q55.wav
P0005_q56,P0005,new_recruits,56.0,scenario,124,audio/new_recruits/P0005/P0005_q56.wav
P0005_q57,P0005,new_recruits,57.0,scenario,125,audio/new_recruits/P0005/P0005_q57.wav
P0005_q58,P0005,new_recruits,58.0,scenario,126,audio/new_recruits/P0005/P0005_q58.wav
P0005_q59,P0005,new_recruits,59.0,scenario,127,audio/new_recruits/P0005/P0005_q59.wav
P0005_q61,P0005,new_recruits,61.0,scenario,129,audio/new_recruits/P0005/P0005_q61.wav
P0005_q66,P0005,new_recruits,66.0,scenario,134,audio/new_recruits/P0005/P0005_q66.wav
P0005_q67,P0005,new_recruits,67.0,scenario,135,audio/new_recruits/P0005/P0005_q67.wav
P0005_q69,P0005,new_recruits,69.0,scenario,137,audio/new_recruits/P0005/P0005_q69.wav
P0005_q70,P0005,new_recruits,70.0,suffix_number,138,audio/new_recruits/P0005/P0005_q70.wav
P0005_q71,P0005,new_recruits,71.0,suffix_additional,139,audio/new_recruits/P0005/P0005_q71.wav
P0005_q72,P0005,new_recruits,72.0,demographic,140,audio/new_recruits/P0005/P0005_q72.wav
P0005_q73,P0005,new_recruits,73.0,dialect,142,audio/new_recruits/P0005/P0005_q73.wav
P0005_mic_check,P0005,new_recruits,,mic_check,141,audio/new_recruits/P0005/P0005_mic_check.wav
P0006_q02,P0006,new_recruits,2.0,scenario,70,audio/new_recruits/P0006/P0006_q02.wav
P0006_q03,P0006,new_recruits,3.0,scenario,71,audio/new_recruits/P0006/P0006_q03.wav
P0006_q04,P0006,new_recruits,4.0,scenario,72,audio/new_recruits/P0006/P0006_q04.wav
P0006_q06,P0006,new_recruits,6.0,scenario,74,audio/new_recruits/P0006/P0006_q06.wav
P0006_q09,P0006,new_recruits,9.0,scenario,77,audio/new_recruits/P0006/P0006_q09.wav
P0006_q10,P0006,new_recruits,10.0,scenario,78,audio/new_recruits/P0006/P0006_q10.wav
P0006_q14,P0006,new_recruits,14.0,scenario,82,audio/new_recruits/P0006/P0006_q14.wav
P0006_q17,P0006,new_recruits,17.0,scenario,85,audio/new_recruits/P0006/P0006_q17.wav
P0006_q26,P0006,new_recruits,26.0,scenario,94,audio/new_recruits/P0006/P0006_q26.wav
P0006_q33,P0006,new_recruits,33.0,scenario,101,audio/new_recruits/P0006/P0006_q33.wav
P0006_q34,P0006,new_recruits,34.0,scenario,102,audio/new_recruits/P0006/P0006_q34.wav
P0006_q37,P0006,new_recruits,37.0,scenario,105,audio/new_recruits/P0006/P0006_q37.wav
P0006_q51,P0006,new_recruits,51.0,scenario,119,audio/new_recruits/P0006/P0006_q51.wav
P0006_q52,P0006,new_recruits,52.0,scenario,120,audio/new_recruits/P0006/P0006_q52.wav
P0006_q53,P0006,new_recruits,53.0,scenario,121,audio/new_recruits/P0006/P0006_q53.wav
P0006_q55,P0006,new_recruits,55.0,scenario,123,audio/new_recruits/P0006/P0006_q55.wav
P0006_q59,P0006,new_recruits,59.0,scenario,127,audio/new_recruits/P0006/P0006_q59.wav
P0006_q62,P0006,new_recruits,62.0,scenario,130,audio/new_recruits/P0006/P0006_q62.wav
P0006_q63,P0006,new_recruits,63.0,scenario,131,audio/new_recruits/P0006/P0006_q63.wav
P0006_q69,P0006,new_recruits,69.0,scenario,137,audio/new_recruits/P0006/P0006_q69.wav
P0006_q70,P0006,new_recruits,70.0,suffix_number,138,audio/new_recruits/P0006/P0006_q70.wav
P0006_q72,P0006,new_recruits,72.0,demographic,140,audio/new_recruits/P0006/P0006_q72.wav
P0006_q73,P0006,new_recruits,73.0,dialect,142,audio/new_recruits/P0006/P0006_q73.wav
P0006_mic_check,P0006,new_recruits,,mic_check,141,audio/new_recruits/P0006/P0006_mic_check.wav
P0007_q03,P0007,new_recruits,3.0,scenario,71,audio/new_recruits/P0007/P0007_q03.wav
P0007_q04,P0007,new_recruits,4.0,scenario,72,audio/new_recruits/P0007/P0007_q04.wav
P0007_q05,P0007,new_recruits,5.0,scenario,73,audio/new_recruits/P0007/P0007_q05.wav
P0007_q06,P0007,new_recruits,6.0,scenario,74,audio/new_recruits/P0007/P0007_q06.wav
P0007_q07,P0007,new_recruits,7.0,scenario,75,audio/new_recruits/P0007/P0007_q07.wav
P0007_q08,P0007,new_recruits,8.0,scenario,76,audio/new_recruits/P0007/P0007_q08.wav
P0007_q11,P0007,new_recruits,11.0,scenario,79,audio/new_recruits/P0007/P0007_q11.wav
P0007_q13,P0007,new_recruits,13.0,scenario,81,audio/new_recruits/P0007/P0007_q13.wav
P0007_q14,P0007,new_recruits,14.0,scenario,82,audio/new_recruits/P0007/P0007_q14.wav
P0007_q20,P0007,new_recruits,20.0,scenario,88,audio/new_recruits/P0007/P0007_q20.wav
P0007_q39,P0007,new_recruits,39.0,scenario,107,audio/new_recruits/P0007/P0007_q39.wav
P0007_q40,P0007,new_recruits,40.0,scenario,108,audio/new_recruits/P0007/P0007_q40.wav
P0007_q41,P0007,new_recruits,41.0,scenario,109,audio/new_recruits/P0007/P0007_q41.wav
P0007_q43,P0007,new_recruits,43.0,scenario,111,audio/new_recruits/P0007/P0007_q43.wav
P0007_q44,P0007,new_recruits,44.0,scenario,112,audio/new_recruits/P0007/P0007_q44.wav
P0007_q48,P0007,new_recruits,48.0,scenario,116,audio/new_recruits/P0007/P0007_q48.wav
P0007_q51,P0007,new_recruits,51.0,scenario,119,audio/new_recruits/P0007/P0007_q51.wav
P0007_q52,P0007,new_recruits,52.0,scenario,120,audio/new_recruits/P0007/P0007_q52.wav
P0007_q53,P0007,new_recruits,53.0,scenario,121,audio/new_recruits/P0007/P0007_q53.wav
P0007_q55,P0007,new_recruits,55.0,scenario,123,audio/new_recruits/P0007/P0007_q55.wav
P0007_q57,P0007,new_recruits,57.0,scenario,125,audio/new_recruits/P0007/P0007_q57.wav
P0007_q60,P0007,new_recruits,60.0,scenario,128,audio/new_recruits/P0007/P0007_q60.wav
P0007_q62,P0007,new_recruits,62.0,scenario,130,audio/new_recruits/P0007/P0007_q62.wav
P0007_q67,P0007,new_recruits,67.0,scenario,135,audio/new_recruits/P0007/P0007_q67.wav
P0007_q68,P0007,new_recruits,68.0,scenario,136,audio/new_recruits/P0007/P0007_q68.wav
P0007_q70,P0007,new_recruits,70.0,suffix_number,138,audio/new_recruits/P0007/P0007_q70.wav
P0007_q72,P0007,new_recruits,72.0,demographic,140,audio/new_recruits/P0007/P0007_q72.wav
P0007_q73,P0007,new_recruits,73.0,dialect,142,audio/new_recruits/P0007/P0007_q73.wav
P0007_mic_check,P0007,new_recruits,,mic_check,141,audio/new_recruits/P0007/P0007_mic_check.wav
P0008_q03,P0008,new_recruits,3.0,scenario,71,audio/new_recruits/P0008/P0008_q03.wav
P0008_q04,P0008,new_recruits,4.0,scenario,72,audio/new_recruits/P0008/P0008_q04.wav
P0008_q06,P0008,new_recruits,6.0,scenario,74,audio/new_recruits/P0008/P0008_q06.wav
P0008_q09,P0008,new_recruits,9.0,scenario,77,audio/new_recruits/P0008/P0008_q09.wav
P0008_q11,P0008,new_recruits,11.0,scenario,79,audio/new_recruits/P0008/P0008_q11.wav
P0008_q12,P0008,new_recruits,12.0,scenario,80,audio/new_recruits/P0008/P0008_q12.wav
P0008_q14,P0008,new_recruits,14.0,scenario,82,audio/new_recruits/P0008/P0008_q14.wav
P0008_q16,P0008,new_recruits,16.0,scenario,84,audio/new_recruits/P0008/P0008_q16.wav
P0008_q19,P0008,new_recruits,19.0,scenario,87,audio/new_recruits/P0008/P0008_q19.wav
P0008_q21,P0008,new_recruits,21.0,scenario,89,audio/new_recruits/P0008/P0008_q21.wav
P0008_q22,P0008,new_recruits,22.0,scenario,90,audio/new_recruits/P0008/P0008_q22.wav
P0008_q23,P0008,new_recruits,23.0,scenario,91,audio/new_recruits/P0008/P0008_q23.wav
P0008_q24,P0008,new_recruits,24.0,scenario,92,audio/new_recruits/P0008/P0008_q24.wav
P0008_q26,P0008,new_recruits,26.0,scenario,94,audio/new_recruits/P0008/P0008_q26.wav
P0008_q36,P0008,new_recruits,36.0,scenario,104,audio/new_recruits/P0008/P0008_q36.wav
P0008_q38,P0008,new_recruits,38.0,scenario,106,audio/new_recruits/P0008/P0008_q38.wav
P0008_q39,P0008,new_recruits,39.0,scenario,107,audio/new_recruits/P0008/P0008_q39.wav
P0008_q40,P0008,new_recruits,40.0,scenario,108,audio/new_recruits/P0008/P0008_q40.wav
P0008_q41,P0008,new_recruits,41.0,scenario,109,audio/new_recruits/P0008/P0008_q41.wav
P0008_q42,P0008,new_recruits,42.0,scenario,110,audio/new_recruits/P0008/P0008_q42.wav
P0008_q43,P0008,new_recruits,43.0,scenario,111,audio/new_recruits/P0008/P0008_q43.wav
P0008_q44,P0008,new_recruits,44.0,scenario,112,audio/new_recruits/P0008/P0008_q44.wav
P0008_q45,P0008,new_recruits,45.0,scenario,113,audio/new_recruits/P0008/P0008_q45.wav
P0008_q47,P0008,new_recruits,47.0,scenario,115,audio/new_recruits/P0008/P0008_q47.wav
P0008_q54,P0008,new_recruits,54.0,scenario,122,audio/new_recruits/P0008/P0008_q54.wav
P0008_q55,P0008,new_recruits,55.0,scenario,123,audio/new_recruits/P0008/P0008_q55.wav
P0008_q56,P0008,new_recruits,56.0,scenario,124,audio/new_recruits/P0008/P0008_q56.wav
P0008_q58,P0008,new_recruits,58.0,scenario,126,audio/new_recruits/P0008/P0008_q58.wav
