participant_id,in_full,in_audit_eligible,in_strict_audit,in_balanced
P0210,True,True,True,True
P0211,True,True,True,True
P0212,True,True,True,True
P0213,True,True,True,True
P0214,True,True,True,True
P0215,True,True,True,True
P0216,True,True,True,False
P0217,True,True,True,True
P0218,True,True,True,True
P0219,True,True,True,True
P0220,True,True,True,True
P0221,True,True,True,True
P0222,True,True,True,True
P0223,True,True,True,True
P0224,True,True,True,True
P0225,True,True,True,True
P0226,True,True,True,True
P0227,True,True,True,True
P0228,True,True,True,True
P0229,True,True,True,True
P0230,True,True,True,True
P0231,True,True,True,True
P0232,True,True,True,True
P0233,True,True,True,True
P0234,True,True,True,True
P0235,True,True,True,True
P0236,True,True,True,True
P0237,True,True,True,True
P0238,True,True,True,True
P0239,True,True,True,True
P0240,True,True,True,True
P0241,True,True,True,True
P0242,True,True,True,True
P0243,True,True,True,True
P0244,True,True,True,True
P0245,True,True,True,True
P0246,True,True,True,True
P0247,True,True,True,True
P0248,True,True,True,True
P0249,True,True,True,True
P0250,True,True,True,True
P0251,True,True,True,True
P0252,True,True,True,True
P0253,True,True,False,False
P0254,True,True,True,True
P0255,True,True,True,True
P0256,True,True,True,True
P0257,True,True,True,True
P0258,True,True,True,True
P0259,True,True,False,False
P0260,True,True,True,True
P0261,True,True,True,True
P0262,True,True,True,True
P0263,True,True,False,False
P0264,True,True,True,True
P0265,True,True,True,True
P0266,True,False,False,False
P0267,True,True,True,True
P0268,True,True,True,True
P0269,True,True,True,True
P0270,True,True,True,True
P0271,True,True,True,True
P0272,True,True,True,True
P0273,True,True,True,True
P0274,True,True,True,True
P0275,True,True,True,True
P0276,True,True,True,True
P0277,True,True,True,True
P0278,True,True,True,True
P0279,True,True,True,True
P0280,True,True,True,True
P0281,True,True,True,True
P0282,True,True,True,True
P0283,True,True,True,True
P0284,True,True,True,True
P0285,True,True,True,True
P0286,True,True,True,True
P0287,True,True,True,True
P0288,True,True,True,True
P0289,True,True,True,True
P0290,True,True,True,True
P0291,True,True,True,True
P0292,True,True,True,True
P0293,True,True,True,True
P0294,True,True,True,True
P0295,True,True,True,True
P0296,True,True,True,True
P0297,True,True,True,True
P0298,True,True,True,True
P0299,True,True,True,True
P0300,True,True,True,True
P0301,True,True,True,True
P0302,True,True,True,True
P0303,True,True,True,True
P0304,True,True,True,True
P0305,True,True,True,True
P0306,True,True,True,True
P0307,True,True,True,True
P0308,True,True,True,True
P0309,True,True,True,True
P0310,True,True,True,True
P0311,True,True,True,True
P0312,True,True,True,True
P0313,True,True,True,True
P0314,True,True,True,True
P0315,True,True,True,True
P0316,True,True,True,True
P0317,True,True,True,True
P0318,True,True,True,True
P0319,True,True,True,True
P0320,True,True,True,True
P0321,True,True,True,True
P0322,True,True,True,True
P0323,True,True,True,True
P0324,True,True,True,True
P0325,True,True,True,True
P0326,True,True,True,True
P0327,True,True,True,True
P0328,True,True,True,True
P0329,True,True,True,True
P0330,True,True,True,True
P0331,True,True,True,True
P0332,True,True,True,True
P0333,True,True,True,True
P0334,True,True,True,True
P0335,True,True,True,True
P0336,True,True,True,True
P0337,True,True,True,True
P0338,True,True,True,True
P0339,True,True,True,True
P0340,True,True,True,True
P0341,True,True,True,True
P0342,True,True,True,True
P0343,True,True,True,True
P0344,True,True,True,True
P0345,True,True,True,True
P0346,True,True,True,True
P0347,True,True,True,True
P0348,True,True,True,True
P0349,True,True,True,True
P0350,True,True,True,True
P0351,True,True,True,True
P0352,True,True,True,True
P0353,True,True,True,True
P0354,True,True,True,True
P0355,True,True,True,True
P0356,True,True,True,True
P0357,True,True,True,True
P0358,True,True,True,True
P0359,True,True,True,True
P0360,True,True,True,True
P0361,True,True,True,True
P0362,True,True,True,True
P0363,True,True,True,True
P0364,True,True,True,True
P0365,True,True,True,True
P0366,True,True,True,True
P0367,True,True,True,True
P0368,True,True,True,True
P0369,True,True,True,True
P0370,True,True,True,True
P0371,True,True,True,True
P0372,True,True,True,True
P0373,True,True,True,True
P0374,True,True,True,True
P0375,True,True,True,True
P0376,True,True,True,True
P0377,True,True,True,True
P0378,True,True,True,True
P0379,True,True,True,True
P0380,True,True,True,True
P0381,True,True,True,True
P0382,True,True,True,True
P0383,True,True,True,True
P0384,True,True,True,True
P0385,True,True,True,True
P0386,True,True,True,True
P0387,True,True,True,True
P0388,True,True,True,True
P0389,True,True,True,True
P0390,True,True,True,True
P0391,True,True,True,True
P0392,True,True,False,False
P0393,True,True,True,True
P0394,True,True,True,True
P0395,True,True,True,True
P0396,True,True,True,True
P0397,True,True,True,True
P0398,True,True,True,True
P0399,True,True,True,True
P0400,True,True,True,True
P0401,True,True,True,True
P0402,True,True,True,True
P0403,True,True,True,True
P0404,True,True,True,True
P0405,True,True,True,True
P0406,True,True,True,True
P0407,True,True,True,True
P0408,True,True,True,True
P0409,True,True,True,True
P0410,True,True,True,True
P0411,True,True,True,True
P0412,True,True,True,False
P0413,True,True,True,True
P0414,True,True,True,True
P0415,True,True,True,True
P0416,True,False,False,False
P0417,True,True,True,True
P0418,True,True,True,True
P0419,True,True,True,True
P0420,True,True,True,True
P0421,True,True,True,True
P0422,True,True,True,True
P0423,True,True,True,True
P0424,True,True,True,True
P0425,True,True,True,True
P0426,True,True,True,True
P0427,True,True,True,True
P0428,True,True,True,True
P0429,True,True,True,True
P0430,True,True,True,True
P0431,True,True,True,True
P0432,True,True,True,True
P0433,True,True,True,True
P0434,True,True,True,True
P0435,True,True,True,True
P0436,True,True,True,True
P0437,True,True,True,True
P0438,True,True,True,True
P0439,True,True,True,True
P0440,True,True,True,True
P0441,True,True,True,True
P0442,True,True,True,True
P0443,True,True,True,True
P0444,True,True,True,True
P0445,True,True,True,True
P0446,True,True,True,True
P0447,True,True,True,True
P0448,True,True,True,True
P0449,True,True,True,True
P0450,True,True,True,True
P0451,True,True,True,True
P0452,True,True,True,True
P0453,True,True,True,True
P0454,True,True,True,True
P0455,True,True,True,True
P0456,True,True,True,True
P0457,True,True,True,True
P0458,True,True,True,True
P0459,True,True,True,True
P0460,True,True,True,True
P0461,True,True,True,True
P0462,True,True,True,False
P0463,True,True,True,True
P0464,True,True,True,True
P0465,True,True,True,True
P0466,True,True,True,True
P0467,True,True,True,True
P0468,True,True,True,True
P0469,True,True,True,True
P0470,True,True,True,True
P0471,True,True,True,True
P0472,True,True,True,True
P0473,True,True,True,True
P0474,True,True,True,True
P0475,True,True,True,True
P0476,True,True,True,True
P0477,True,True,True,True
P0478,True,True,True,True
P0479,True,True,True,True
P0480,True,True,True,True
P0481,True,True,True,True
P0482,True,True,True,True
P0483,True,True,True,True
P0484,True,True,True,True
P0485,True,True,True,True
P0486,True,True,True,True
P0487,True,True,True,True
P0488,True,True,True,True
P0489,True,True,True,True
P0490,True,True,True,True
P0491,True,True,True,True
P0492,True,True,True,True
P0493,True,True,True,True
P0494,True,True,True,True
P0495,True,True,True,True
P0496,True,True,True,True
P0497,True,True,True,True
P0498,True,True,True,True
P0499,True,True,True,True
P0500,True,True,True,True
P0501,True,True,True,True
P0502,True,True,True,True
P0503,True,True,True,True
P0504,True,True,True,True
P0505,True,True,True,True
P0506,True,True,True,True
P0507,True,False,False,False
P0508,True,True,True,True
P0509,True,True,True,True
P0510,True,True,True,True
P0511,True,True,True,True
P0512,True,True,True,True
P0513,True,True,True,True
P0514,True,True,True,True
P0515,True,True,True,True
